"SC";"PERSONAS";"MUNI";"EDAD_MEDIA";"ArtSurfA";"Service.area.popacc";"POPDEN.I.SD";"ARTSURF.I.SD";"ROADDEN.I.SD";"SERAREA.I.SD";"UI.N";"DI.N";"SMRe"
"0401308004";2543;4013;31.4;5.466423792;1.305684163;-1.23544478982554;-1.23544478982554;-1.23544478982554;-0.235444789825542;-1.31062771326934;0.327606079170962;0.837520995390417
"0401308005";2310;4013;31.9;0.285951263;0.760515636;-1.23544478982554;-1.23544478982554;-0.235444789825542;-0.235444789825542;-1.04002751022698;-0.445977901865597;0.957649617384867
"0401401001";166;4014;52.8;0.000853449;0;-1.23544478982554;-1.23544478982554;-1.23544478982554;-1.23544478982554;-1.50606119324438;-1.53249243658026;0.897805025895608
"0401501001";108;4015;53.2;0.000853449;0;-1.23544478982554;-1.23544478982554;-1.23544478982554;-1.23544478982554;-1.50606119324438;-1.29699459659347;1.05932948215586
"0401601001";1705;4016;36;0.433458765;0.202222807;-1.23544478982554;-1.23544478982554;-1.23544478982554;-0.235444789825542;-1.31062771326934;-1.49430248181382;0.907455292669639
"0401602001";1235;4016;39;0.662439686;0.241858965;-1.23544478982554;-1.23544478982554;-1.23544478982554;-0.235444789825542;-1.31062771326934;-0.798564078844421;1.10407461844115
"0401701001";1727;4017;43.4;2.219091391;0;-1.23544478982554;-1.23544478982554;-1.23544478982554;-1.23544478982554;-1.50606119324438;-1.3464763920395;0.787216827396575
"0401801001";308;4018;45.8;0.000853449;0;-1.23544478982554;-1.23544478982554;-1.23544478982554;-1.23544478982554;-1.50606119324438;-0.694666758660907;0.863274222807877
"0401901001";284;4019;47.2;0.000853449;0;-1.23544478982554;-1.23544478982554;-1.23544478982554;-1.23544478982554;-1.50606119324438;-1.7160312948659;0.920043253556101
"0402001001";341;4020;44.7;0.000853449;0;-1.23544478982554;-1.23544478982554;-1.23544478982554;-1.23544478982554;-1.50606119324438;-1.68770879868235;1.03722513958786
"0402101001";221;4021;50.4;0.000853449;0;-1.23544478982554;-1.23544478982554;-1.23544478982554;-1.23544478982554;-1.50606119324438;-1.80432234164215;1.16518761605687
"0402201001";659;4022;47.8;0.000853449;0.421132681;-1.23544478982554;-1.23544478982554;-1.23544478982554;-0.235444789825542;-1.31062771326934;-0.810165567805902;1.02767542365021
"0402301001";137;4023;59.5;0.863659123;0;-1.23544478982554;-1.23544478982554;-1.23544478982554;-1.23544478982554;-1.50606119324438;-1.74412671564272;0.731888834720809
"0402401001";1812;4024;38.4;5.725614833;1.588696899;-1.23544478982554;-1.23544478982554;-1.23544478982554;-0.235444789825542;-1.31062771326934;0.581868605040293;0.968107578598799
"0402401002";1032;4024;29.8;17.7625823;0.553057654;-0.235444789825542;-0.235444789825542;-0.235444789825542;-0.235444789825542;-0.501833773064949;0.669437139158804;1.00085955349536
"0402601001";82;4026;57;0.000853449;0;-1.23544478982554;-1.23544478982554;-1.23544478982554;-1.23544478982554;-1.50606119324438;-1.81357050366127;0.815368294870778
"0402701001";301;4027;46.7;0.000853449;0;-1.23544478982554;-1.23544478982554;-1.23544478982554;-1.23544478982554;-1.50606119324438;-1.69163101025296;0.998286673145694
"0402801001";293;4028;46.9;0.000853449;0;-1.23544478982554;-1.23544478982554;-1.23544478982554;-1.23544478982554;-1.50606119324438;-1.68867902996561;1.10414155175223
"0402901001";961;4029;35.6;6.04296686;0.187517018;-0.235444789825542;-1.23544478982554;1.76455521017446;0.764555210174458;-0.0117467386660052;-0.308411491831237;0.992600938660814
"0402901002";1193;4029;35.4;96.95651411;0.148086555;0.764555210174458;0.764555210174458;-0.235444789825542;0.764555210174458;0.231793444072121;0.539281644671012;1.23805019569039
"0402901003";1237;4029;35.8;31.47240473;0.198280272;-0.235444789825542;-0.235444789825542;-0.235444789825542;0.764555210174458;-0.30640029308991;-0.833038254228182;1.17137029991769
"0402901004";1136;4029;37.3;0.000853449;0.530966797;-1.23544478982554;-1.23544478982554;-1.23544478982554;-0.235444789825542;-1.31062771326934;-0.82414102692854;1.14412938466745
"0402901005";1148;4029;39.1;88.26944064;0.15450677;-0.235444789825542;0.764555210174458;0.764555210174458;0.764555210174458;0.21074676161327;0.545495253527607;0.955337937717264
"0402901006";1046;4029;40.4;18.09699049;0.555904772;-0.235444789825542;-0.235444789825542;-0.235444789825542;0.764555210174458;-0.30640029308991;-0.883387064863507;0.987512941887346
"0402901007";1518;4029;29.5;7.646298656;0.235027638;-0.235444789825542;-1.23544478982554;0.764555210174458;0.764555210174458;-0.282346941708366;0.607569412437168;0.944785110620044
"0402902001";1030;4029;37.8;0.000853449;1.073587193;-1.23544478982554;-1.23544478982554;-1.23544478982554;-0.235444789825542;-1.31062771326934;-0.134574946378152;1.10420334677436
"0402902002";1038;4029;34.4;1.143136514;1.708906487;-1.23544478982554;-1.23544478982554;-1.23544478982554;-0.235444789825542;-1.31062771326934;0.101831195235518;1.13788784099129
"0402902003";2200;4029;32;0.000853449;0.714353275;-1.23544478982554;-1.23544478982554;-1.23544478982554;-0.235444789825542;-1.31062771326934;-0.15689026589303;1.17585885966314
"0402902004";796;4029;42.8;0.033919694;2.569480223;-1.23544478982554;-1.23544478982554;-0.235444789825542;-0.235444789825542;-1.04002751022698;-1.44323115852075;1.26454995099581
"0403001001";893;4030;45.1;0.000853449;0;-1.23544478982554;-1.23544478982554;-1.23544478982554;-1.23544478982554;-1.50606119324438;-0.237047884464972;1.00827022786911
"0403001002";662;4030;44;0.000853449;0;-1.23544478982554;-1.23544478982554;-1.23544478982554;-1.23544478982554;-1.50606119324438;-0.992135541463298;0.919372276303559
"0403101001";1531;4031;40.1;0.804289965;0;-1.23544478982554;-1.23544478982554;-0.235444789825542;-1.23544478982554;-1.23546099020202;-0.557120991845339;0.861446125861159
"0403101002";774;4031;44.5;0.681351331;0;-1.23544478982554;-1.23544478982554;-1.23544478982554;-1.23544478982554;-1.50606119324438;-0.201108040546932;0.734178802916893
"0403102001";901;4031;48.8;0.945042317;0;-1.23544478982554;-1.23544478982554;-1.23544478982554;-1.23544478982554;-1.50606119324438;-0.957971014361428;0.682058320523267
"0403201001";1775;4032;37.4;87.75597275;0;-0.235444789825542;0.764555210174458;0.764555210174458;-1.23544478982554;-0.180120198336807;-1.37366351118945;1.2553785592586
"0403201002";1930;4032;31;49.36416398;0;-0.235444789825542;-0.235444789825542;-0.235444789825542;-1.23544478982554;-0.697267253039987;-0.378887440789416;0.994242696539044
"0403201003";1101;4032;31.7;24.35512537;0;-0.235444789825542;-0.235444789825542;-0.235444789825542;-1.23544478982554;-0.697267253039987;-0.353042130860992;0.821107680415963
"0403201004";1013;4032;30.8;49.54575205;0;-0.235444789825542;-0.235444789825542;-0.235444789825542;-1.23544478982554;-0.697267253039987;-0.384006959049998;1.1588661718327
