Census Tract;Bus stops;Health center;Hospitals;Universities;Bus stations;Faculty;Supermarkets;Open Markets;% of artificial surface;Road density;Total.Area
2106001005;3;0;0;0;0;0;1;0;4,753840659;103,4228481;35398112,27
1402105025;0;0;0;0;0;0;3;0;100;20,56219991;53955,51275
4109104025;0;0;0;0;0;0;0;0;100;26,88262367;61266,53381
2900701002;0;0;0;0;0;0;0;0;49,77588659;50,17888952;239901,3457
1103501003;0;0;0;0;0;0;0;0;59,52062114;63,79641894;161135,1833
2904602001;0;1;0;0;0;0;0;0;0;0;24608590,61
2906708023;0;0;1;0;0;0;0;0;100;45,36506124;87880,11905
2906708036;0;0;0;0;0;0;0;0;3,197841559;84,92207736;1499901,74
1808702025;0;0;0;0;0;0;0;0;100;45,90087995;51828,35334
1102701012;0;0;0;0;0;0;0;0;76,74682629;35,37700356;79322,59062
1104102003;2;0;0;0;0;0;0;0;69,92226178;21,53558131;526135,8702
1101210018;0;0;0;0;0;0;0;0;100,0000021;27,30128785;61814,14847
490201003;0;1;1;0;1;0;0;0;58,7804595;51,71906822;1192832,96
4108604005;0;0;0;0;0;0;0;0;100;30,4415972;21998,09673
1100702001;0;0;0;0;0;0;0;0;100;24,41407766;31191,08982
4105303002;1;0;0;0;0;0;0;0;49,95915168;42,78958158;598180,1455
1813503001;0;1;0;0;0;0;0;0;0;0;152337348,6
2907001013;5;1;0;0;0;0;0;0;47,68528643;31,74672657;717006,4947
1804201001;1;1;0;0;0;0;0;0;0;0;56851056,8
2104108007;0;0;0;0;0;0;0;0;46,46262659;37,53758926;69333,4449
1402102019;0;0;0;0;0;0;0;0;82,42387293;15,47798958;147224,683
1810201003;1;1;0;0;0;0;0;0;0,26245227;327,6133529;104312908,3
1402109009;0;0;0;0;0;0;0;0;58,18869608;44,0360888;327903,5835
1101505002;11;0;0;0;0;0;2;0;0,097121958;6156,059002;11383066,62
1806101001;5;2;0;0;0;0;0;0;0,281870453;440,3992454;90267775,3
1814004012;0;0;0;0;0;0;0;0;100;43,16743302;52974,8477
4109103046;0;0;0;0;0;0;0;0;100;54,81636745;28167,63492
2305004010;0;0;0;0;0;0;0;0;97,45338753;31,19904617;647784,2304
4106502005;0;0;0;0;0;0;0;0;83,25848979;28,73723533;462484,3238
4103803002;1;0;0;0;0;0;0;0;100;30,16768071;195644,3117
4109104034;2;0;0;0;0;0;0;0;99,9999992;34,91075098;586748,7885
4109101053;0;0;0;0;1;0;0;0;100;34,005433;114899,2107
4107901005;5;0;0;0;0;0;0;0;80,64311133;24,69556351;195851,2267
2906702034;0;0;0;0;0;0;0;0;100;25,56086234;41883,28219
1103202001;0;0;0;0;0;0;0;0;100;30,12169572;81604,06723
1101208022;0;0;0;0;0;0;0;0;100;17,55645522;18616,2354
4106804002;0;0;2;0;1;0;1;0;84,80801756;26,1476067;879739,8096
4109105040;0;0;0;0;0;0;0;0;87,5118;45,61242275;64328,09577
2905901002;1;1;0;0;0;0;0;0;6,012161134;41,88911691;15249391,86
2906709032;0;0;0;0;0;0;0;0;100;47,45527806;67179,16249
1401901002;0;0;0;0;0;0;0;0;82,73952539;39,76093069;61629,54591
2309203002;0;0;0;0;0;0;0;0;100;34,74354107;61788,62064
2906901029;0;0;0;0;0;0;0;0;73,43360277;21,13295398;106586,1751
2302402001;0;0;0;0;0;0;0;0;65,10633468;45,94545774;181214,4412
1402904001;1;8;0;0;0;0;0;0;2,337033524;25,38684895;185053154,4
2990101024;4;0;0;0;0;0;0;0;45,36351883;23,96171241;2222767,635
4109101025;2;0;0;0;0;0;0;0;100;36,68458308;93423,43725
2904101002;2;1;0;0;0;0;0;0;6,223027771;33,67983551;96124424,14
2300503004;0;0;0;0;0;0;0;0;95,25697651;26,34722885;86539,16542
1813202001;5;1;0;0;0;0;0;0;0;0;15864718,17
1103204001;0;0;0;0;0;0;0;0;100;21,204302;163016,636
2305004005;0;0;0;0;0;0;0;0;100;28,09169432;53227,11639
4109102089;0;0;0;0;0;0;0;0;28,40005229;109,4490775;41453,45638
1808901004;2;0;0;0;0;0;0;0;100;26,74897371;176507,1344
4100801001;1;1;0;0;0;0;0;0;0;0;20426243,62
2100803001;0;0;0;0;0;0;0;0;0,00931206;3943,865958;277587663
406201002;0;0;0;0;0;0;0;0;59,61297576;44,94631167;257102,4664
2309201008;0;0;0;0;1;1;0;0;94,7858364;26,1810522;228367,7503
4109105045;0;0;0;0;0;0;0;0;100,000009;31,86025643;33156,64624
1103106003;0;0;0;0;0;0;0;0;100;28,71807823;36619,79756
2906710043;0;0;0;0;0;0;0;0;100;40,12205384;22164,54396
4109106056;0;1;0;0;0;0;0;0;100;34,08452878;29668,04007
2300202001;0;1;0;0;0;0;0;0;23,21823926;131,7609602;113776,5855
1808703010;0;0;0;0;0;0;0;0;100;30,8898139;116634,9889
