Census Tract;Service area overall;Service area (pop-accounted);Total area;Portion overall;Portion pop-accounted
1101201001;0,046518186;0,044915024;0,051113151;91,01021103;87,87371461
1101201002;0,008840104;0,008840105;0,033998058;26,00179012;26,00179271
1101201003;0,019683242;0,017943158;0,051864083;37,95158661;34,59650093
1101201004;0,066088008;0,063206505;0,076470538;86,42283668;82,65471509
1101201005;0,026535157;0,024646377;0,032228208;82,33519067;76,47454864
1101201006;0,018726356;0,018668402;0,072967812;25,66385808;25,58443429
1101202001;0,042755534;0,042755534;0,042755534;100;100
1101202002;0,039124113;0,039124113;0,039124113;100;100
1101202003;0,036431892;0,036431892;0,036431892;100;100
1101202004;0,034298576;0,034298576;0,034298576;100;100
1101202005;0,031247423;0,031247428;0,034637793;90,21193578;90,21194832
1101203001;0,029976528;0,029976528;0,029976528;100;100
1101203002;0,097257546;0,081325901;0,118536766;82,04842241;68,60816576
1101203003;0,021000243;0,021000243;0,021000243;100;100
1101203004;0,022781187;0,022781187;0,022781187;100;100
1101203005;0,022117034;0,022117034;0,022117034;100;100
1101203006;0,107825668;0,099994556;0,133422806;80,81502048;74,94562524
1101204001;0,020760693;0,020760693;0,020760693;100;100
1101204002;0,044238172;0,044238172;0,044238172;100;100
1101204003;0,015728977;0,015728977;0,015728977;100;100
1101204004;0,012623884;0,012623884;0,012623884;100;100
1101204005;0,05706723;0,049040595;0,109408083;52,15997632;44,82355757
1101204006;0,035274552;0,035274552;0,035274552;100;100
1101205001;0,038862719;0,038862719;0,038862719;100;100
1101205002;0,029390812;0,029390812;0,029390812;100;100
1101205003;0,01378293;0,01378293;0,01378293;100;100
1101205004;0,016302557;0,016302557;0,016302557;100;100
1101205005;0,011468668;0,011468668;0,011468668;100;100
1101205006;0,018811744;0,018811744;0,018811744;100;100
1101206001;0,02773385;0,02773385;0,02773385;100;100
1101206002;0,022417637;0,022417637;0,022417637;100;100
1101206003;0,038187302;0,038187302;0,038187302;100;100
1101206004;0,019878532;0,019878532;0,019878532;100;100
1101206005;0,02890847;0,02890847;0,02890847;100;100
1101206006;0,032147864;0,030698377;0,400254511;8,031855516;7,669714164
1101207001;0,009179225;0,009179223;0,010452282;87,82029297;87,82027622
1101207002;0,010989086;0,010989085;0,014350694;76,57529352;76,57528902
1101207003;0,000237832;0,000237832;0,019415158;1,224978612;1,224980284
1101207004;0,002381714;0,002381712;0,333885104;0,71333331;0,713332939
1101207005;0,035317101;0,035317101;0,035317101;100;100
1101207006;0,057816773;0,057044257;0,08591444;67,29575762;66,39658843
1101208001;0,091677874;0,091677874;0,09290257;98,68174158;98,68174187
1101208002;0,03384221;0,033300221;0,03384221;100;98,39848142
1101208003;0,006607307;0,002814858;0,101822318;6,489055889;2,764480855
1101208004;0,030648139;0,030648138;0,050237686;61,00627134;61,00626813
1101208005;0,037609723;0,037609723;0,037609723;100;100
1101208006;0,073870497;0,073870501;0,093801635;78,75182212;78,75182673
1101208007;0,023862604;0,023862604;0,023862604;100;100
1101208008;0,020174288;0,020174286;0,025869334;77,98534032;77,98533221
1101208009;0,023608791;0,023608791;0,023608791;100;100
1101208010;0,007456049;0,007456051;0,711509571;1,047919691;1,047919957
1101208012;0,018957323;0,018957323;0,018957323;100;100
1101208013;0,033003023;0,033003023;0,033003023;100;100
1101208014;0,027369346;0,027369346;0,027369346;100;100
1101208015;0,003039183;0,003039189;0,01540525;19,72822992;19,72826554
1101208016;0,002531222;0,002531226;0,045521173;5,56053786;5,560546413
1101208017;0,093443555;0,093443555;0,093443555;100;100
1101208019;0,027013452;0,023718998;0,052127122;51,82225875;45,50222026
1101208020;0,030676272;0,030676271;0,036822408;83,30870594;83,30870344
1101208021;0,058448935;0,058448937;0,065703383;88,95879099;88,95879409
1101208022;0,014315061;0,014315062;0,018616235;76,89557269;76,89557727
1101209001;0,147575458;0,147575441;0,190378654;77,51680926;77,51680031
1101209002;0,026336248;0,026336248;0,026336248;100;100
1101209003;0,065557066;0,065557066;0,065557066;100;100
1101209004;0,016228189;0,016228189;0,016228189;100;100
1101209005;0,032452374;0,032452374;0,032452374;100;100
1101209006;0,05809944;0,05809944;0,05809944;100;100
1101209007;0,033846781;0,033846777;0,037367567;90,57796262;90,57795234
1101209008;0,02001304;0,02001304;0,02001304;100;100
1101209009;0,033087588;0,033087588;0,033087588;100;100
1101209010;0,021132184;0,021132184;0,021132184;100;100
1101209011;0,023946461;0,023946461;0,023946461;100;100
1101209012;0,0225636;0,0225636;0,0225636;100;100
1101209013;0,016310614;0,016286182;0,048677424;33,5075534;33,45736213
1101209014;0,024851225;0,024851225;0,024851225;100;100
1101209015;0,036569561;0,036569563;0,073314885;49,88013125;49,88013466
1101209016;0,016441118;0,016441118;0,016441118;100;100
